datetime,date,open,high,low,close,volume,datetime,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,EMA_9,WMA_9,SMA_9,ATRr_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,VWAP_D,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0,VWAP_CROSS,SUPERTREND_CROSS,MACD_CROSS,EMA_CROSS,RSI_CROSS
2022-12-19 13:30:00,2022-12-19 13:30:00+05:30,18530.0,18541.35,18530.0,18530.0,3600,2022-12-19 13:30:00,52.166277661431096,32.299419857546205,25.326639034887425,18525.846234478,18522.53,18521.588888888888,13.73501686606967,0.032227926632913295,-2.602982700677005,2.6352106273099185,18514.859413067552,18538.32554738624,-1,,18538.32554738624,0,-1,0,0,1
2022-12-19 13:35:00,2022-12-19 13:35:00+05:30,18533.4,18539.3,18530.05,18539.25,2150,2022-12-19 13:35:00,57.27803054426822,51.61301501611164,36.60851610853263,18528.5269875824,18526.062222222223,18522.850000000002,13.41136762562934,1.0047728632453072,-1.304350211251689,2.309123074496996,18514.93535821678,18509.03255187686,1,18509.03255187686,,0,1,0,0,1
2022-12-19 13:40:00,2022-12-19 13:40:00+05:30,18539.25,18551.95,18537.6,18551.95,3850,2022-12-19 13:40:00,63.10740030157551,74.67639732099958,52.8629440648858,18533.211590065923,18531.882222222222,18525.844444444447,13.479759322520373,2.768393279529846,0.3674161640262801,2.400977115503566,18515.139454495617,18518.695635094547,1,18518.695635094547,,0,1,1,0,1
2022-12-19 13:45:00,2022-12-19 13:45:00+05:30,18551.95,18555.0,18545.4,18550.0,4350,2022-12-19 13:45:00,61.71496069191568,93.74062213053219,73.3433448225478,18536.569272052737,18536.713333333333,18529.622222222224,13.197472855105168,3.963042970011884,1.2496526836066542,2.7133902864052297,18515.388043330342,18525.10363997702,1,18525.10363997702,,0,1,0,0,1
2022-12-19 13:50:00,2022-12-19 13:50:00+05:30,18550.0,18563.0,18550.0,18559.6,6500,2022-12-19 13:50:00,65.72455543961371,97.99099733786655,88.80267226313278,18541.17541764219,18542.70888888889,18535.11666666667,13.18312406210604,5.61967115520747,2.325024695041792,3.294646460165678,18515.830710188253,18531.274521703588,1,18531.274521703588,,0,1,0,0,1
2022-12-19 13:55:00,2022-12-19 13:55:00+05:30,18559.6,18562.95,18552.95,18555.3,5700,2022-12-19 13:55:00,62.5639003561156,93.8948395695624,95.20881967932037,18544.000334113753,18546.745555555553,18539.772222222222,12.952116527806853,6.510537440983171,2.5727127846539943,3.9378246563291768,18516.207053078215,18533.47115167462,1,18533.47115167462,,0,1,0,0,1
2022-12-19 14:00:00,2022-12-19 14:00:00+05:30,18557.5,18557.95,18540.8,18542.0,5800,2022-12-19 14:00:00,53.92587427415928,80.6129426444714,90.83292651730011,18543.600267291004,18547.19111111111,18542.294444444444,13.256419647129725,6.073346782362933,1.7084177008270043,4.364929081535928,18516.489619523545,18533.47115167462,1,18533.47115167462,,0,1,0,1,1
2022-12-19 14:05:00,2022-12-19 14:05:00+05:30,18546.3,18560.0,18542.0,18553.5,7800,2022-12-19 14:05:00,59.17458016255394,72.1242808308469,82.21068768162691,18545.580213832804,18549.43222222222,18545.366666666665,13.599915666828387,6.578985476811795,1.771245116220693,4.807740360591102,18516.92161978636,18533.47115167462,1,18533.47115167462,,0,1,0,1,1
2022-12-19 14:10:00,2022-12-19 14:10:00+05:30,18553.5,18559.95,18550.15,18550.25,3850,2022-12-19 14:10:00,57.19169171869804,65.16198549593368,72.633069657084,18546.514171066243,18550.408888888887,18547.98333333333,13.325023627567365,6.640907696375507,1.4665338686275238,5.174373827747983,18517.140676272065,18533.47115167462,1,18533.47115167462,,0,1,0,0,1
2022-12-19 14:15:00,2022-12-19 14:15:00+05:30,18550.25,18562.95,18546.1,18552.15,5150,2022-12-19 14:15:00,58.076153640990896,69.65610883845564,68.9807917217454,18547.641336852997,18551.242222222223,18550.444444444445,13.579793497826312,6.765309347636503,1.2727484159108151,5.492560931725688,18517.43187952304,18533.47115167462,1,18533.47115167462,,0,1,0,0,1
2022-12-19 14:20:00,2022-12-19 14:20:00+05:30,18552.15,18556.45,18542.3,18555.05,5050,2022-12-19 14:20:00,59.45316374962744,67.63654175964842,67.48487869801258,18549.123069482397,18552.163333333334,18552.199999999997,13.620970649871017,7.017016517740558,1.2195644688118952,5.797452048928663,18517.69386307881,18533.47115167462,1,18533.47115167462,,0,1,0,0,1
2022-12-19 14:25:00,2022-12-19 14:25:00+05:30,18555.05,18555.05,18536.6,18550.0,5650,2022-12-19 14:25:00,56.00355629707988,58.47972027051161,65.25745695620522,18549.29845558592,18551.72333333333,18551.983333333334,13.969422531945533,6.731407986993872,0.7471647504521677,5.984243236541705,18517.94742215804,18533.47115167462,1,18533.47115167462,,0,1,0,0,1
2022-12-19 14:30:00,2022-12-19 14:30:00+05:30,18550.0,18559.3,18548.25,18552.0,4250,2022-12-19 14:30:00,57.06603206968327,50.695026625486555,58.93709621854887,18549.838764468735,18551.726666666666,18552.205555555556,13.75891707270947,6.5904735770091065,0.4849842723739206,6.105489304635186,18518.17360041283,18533.47115167462,1,18533.47115167462,,0,1,0,0,1
2022-12-19 14:35:00,2022-12-19 14:35:00+05:30,18552.0,18588.1,18550.0,18586.1,18350,2022-12-19 14:35:00,70.25528803904311,61.20325551791827,56.792667471305485,18557.09101157499,18558.505555555555,18555.15,15.512848297616825,9.12517768797261,2.4157507066699377,6.709426981302672,18519.698872069952,18534.307533747073,1,18534.307533747073,,0,1,0,0,1
2022-12-19 14:40:00,2022-12-19 14:40:00+05:30,18586.75,18591.0,18578.2,18585.0,14950,2022-12-19 14:40:00,69.51344661393611,79.90420462011042,63.93416225450508,18562.672809259995,18564.475555555553,18558.45,15.317492822158181,10.919317060514004,3.367912063369065,7.551404997144939,18521.097010114085,18551.16365849039,1,18551.16365849039,,0,1,0,0,1
2022-12-19 14:45:00,2022-12-19 14:45:00+05:30,18585.0,18592.0,18580.0,18584.8,8500,2022-12-19 14:45:00,69.3700212752952,96.67857398866745,79.2620113755654,18567.098247407997,18569.745555555557,18563.205555555556,15.078735273977513,12.184590733468212,3.7065485890586185,8.478042144409594,18521.875921058865,18553.911758709553,1,18553.911758709553,,0,1,0,0,1
2022-12-19 14:50:00,2022-12-19 14:50:00+05:30,18584.8,18591.0,18581.55,18590.55,5150,2022-12-19 14:50:00,71.2092373872968,96.67857398866745,91.08711753248178,18571.7885979264,18575.214444444442,18567.32222222222,14.673858203568843,13.495735739532392,4.014154876098239,9.481580863434154,18522.3540171121,18556.070854792022,1,18556.070854792022,,0,1,0,0,1
2022-12-19 14:55:00,2022-12-19 14:55:00+05:30,18590.55,18608.0,18589.9,18604.4,19050,2022-12-19 14:55:00,75.08929905236694,98.19289947882949,97.1833491520548,18578.31087834112,18582.63,18573.33888888889,14.920178281219542,15.474031846966682,4.793960786826023,10.680071060140659,18524.405604770407,18567.889280097923,1,18567.889280097923,,0,1,0,0,1
2022-12-19 15:00:00,2022-12-19 15:00:00+05:30,18604.4,18617.15,18590.0,18594.3,22250,2022-12-19 15:00:00,67.90261963583812,88.68066094871206,94.51737813873633,18581.508702672894,18586.82222222222,18578.022222222222,15.79902348757933,16.04193869071969,4.289494104463223,11.752444586256466,18526.661524621843,18569.19430317714,1,18569.19430317714,,0,1,0,0,1
2022-12-19 15:05:00,2022-12-19 15:05:00+05:30,18594.3,18609.55,18590.6,18607.45,18300,2022-12-19 15:05:00,71.70032087072617,83.3428698977878,90.07214344177646,18586.696962138318,18592.707777777778,18583.844444444447,16.025357456272012,17.35306868293992,4.4804992773467625,12.872569405593158,18528.467878748455,18569.19430317714,1,18569.19430317714,,0,1,0,0,1
2022-12-19 15:10:00,2022-12-19 15:10:00+05:30,18607.45,18607.45,18590.0,18595.05,11100,2022-12-19 15:10:00,64.0094436980496,63.99185398260848,78.67179494303612,18588.367569710656,18594.948888888888,18588.85,16.12764818483174,17.19337772318977,3.4566466540772876,13.736731069112482,18529.450573901893,18569.19430317714,1,18569.19430317714,,0,1,0,0,1
2022-12-19 15:15:00,2022-12-19 15:15:00+05:30,18597.0,18604.0,18590.05,18595.05,12850,2022-12-19 15:15:00,64.00944369804961,55.96017711871713,67.76496699970447,18589.704055768525,18596.18888888889,18593.63333333333,15.971349121340184,16.87232779491751,2.508477380644022,14.363850414273488,18530.535448734125,18569.19430317714,1,18569.19430317714,,0,1,0,0,1
2022-12-19 15:20:00,2022-12-19 15:20:00+05:30,18595.05,18604.5,18595.0,18599.0,17550,2022-12-19 15:20:00,65.38130512305362,44.342914243111075,54.764981781478895,18591.56324461482,18597.26222222222,18595.066666666666,15.507033400458704,16.743615426101314,1.9038120094622606,14.839803416639054,18532.02940401983,18569.19430317714,1,18569.19430317714,,0,1,0,0,1
2022-12-19 15:25:00,2022-12-19 15:25:00+05:30,18598.0,18601.15,18594.65,18601.15,23050,2022-12-19 15:25:00,66.13789697399568,48.06026721392393,49.45445285858404,18593.480595691857,18598.478888888887,18596.86111111111,14.860991033973624,16.623471941402386,1.4269348198106648,15.19653712159172,18533.88164606337,18569.19430317714,1,18569.19430317714,,0,1,0,0,1
2022-12-20 09:15:00,2022-12-20 09:15:00+05:30,18570.85,18570.85,18471.0,18481.7,107300,2022-12-20 09:15:00,28.660586398861383,34.07794979576988,42.1603770842683,18571.124476553487,18575.44666666667,18585.405555555553,23.1277979135495,6.811126226140914,-6.708328716360647,13.51945494250156,18507.850000000002,18583.037434243735,-1,,18583.037434243735,-1,-1,-1,1,-1
